environment,contrast,baseline,method,delta_pp,cells,ci_low_pp,ci_high_pp,ci_source
clean,C1,0.9149157323442745,0.9317469169035462,1.6831184559271604,60,1.4660397049516958,1.9322463998887713,results/05_mechanism_analysis/ablation_summary.json
clean,C2,0.9149157323442745,0.9608392760430582,4.5923543698783655,60,4.258309011137721,4.831909268154446,results/05_mechanism_analysis/ablation_summary.json
clean,C3,0.9317469169035462,0.9726656538111014,4.091873690755522,60,3.922674172356534,4.300319535450429,results/05_mechanism_analysis/ablation_summary.json
clean,C4,0.9726656538111014,0.9724806385938991,-0.018501521720219277,60,-0.07915383401316702,0.05208525308834977,results/05_mechanism_analysis/ablation_summary.json
clean,C5,0.9149157323442745,0.9724806385938991,5.756490624962463,60,5.3602778930723884,6.0034740514797935,results/05_mechanism_analysis/ablation_summary.json
unseen,C1,0.9089372771555689,0.9204700419564912,1.1532764800922186,240,1.0679186907896954,1.2592957101890025,results/05_mechanism_analysis/ablation_summary.json
unseen,C2,0.9089372771555689,0.9586926313377425,4.975535418217351,240,4.745432082236578,5.099646937372987,results/05_mechanism_analysis/ablation_summary.json
unseen,C3,0.9204700419564912,0.967057722913079,4.658768095658785,240,4.499424255582233,4.798367650347624,results/05_mechanism_analysis/ablation_summary.json
unseen,C4,0.967057722913079,0.9671298032333194,0.007208032024047424,240,0.00047838033091968107,0.013230876355966871,results/05_mechanism_analysis/ablation_summary.json
unseen,C5,0.9089372771555689,0.9671298032333194,5.819252607775051,240,5.645270171236158,5.938286471566423,results/05_mechanism_analysis/ablation_summary.json
