Condition,Method,C,C++,Java,Python,Macro Avg
clean,LPcodedec Original,89.06% ± 1.46%,88.54% ± 1.20%,91.25% ± 0.85%,93.01% ± 0.56%,90.46% ± 0.50%
clean,XGB Original,90.26% ± 1.24%,90.93% ± 1.61%,91.59% ± 0.77%,93.19% ± 0.70%,91.49% ± 0.53%
clean,Best Transition,92.33% ± 1.25%,92.03% ± 1.13%,93.39% ± 0.83%,94.95% ± 0.52%,93.17% ± 0.44%
clean,MSTF,96.86% ± 0.62%,97.40% ± 0.62%,97.26% ± 0.48%,97.48% ± 0.38%,97.25% ± 0.23%
comment_removal,LPcodedec Original,87.19% ± 1.88%,87.58% ± 1.12%,90.59% ± 0.99%,92.94% ± 0.57%,89.57% ± 0.61%
comment_removal,XGB Original,88.20% ± 1.61%,90.08% ± 1.67%,90.95% ± 0.86%,93.08% ± 0.71%,90.58% ± 0.66%
comment_removal,Best Transition,90.83% ± 1.37%,91.53% ± 1.10%,92.78% ± 0.89%,94.88% ± 0.51%,92.50% ± 0.50%
comment_removal,MSTF,96.58% ± 0.64%,97.23% ± 0.58%,97.02% ± 0.55%,97.42% ± 0.40%,97.06% ± 0.23%
identifier_rename,LPcodedec Original,83.83% ± 2.49%,83.54% ± 3.16%,83.88% ± 2.00%,90.11% ± 1.33%,85.34% ± 1.17%
identifier_rename,XGB Original,86.63% ± 1.82%,86.80% ± 2.41%,89.19% ± 1.39%,91.36% ± 1.02%,88.50% ± 0.71%
identifier_rename,Best Transition,90.33% ± 1.75%,87.92% ± 2.24%,91.24% ± 1.25%,93.38% ± 0.56%,90.72% ± 0.82%
identifier_rename,MSTF,95.07% ± 0.90%,95.11% ± 1.07%,95.68% ± 0.71%,96.21% ± 0.46%,95.52% ± 0.26%
format_normalization,LPcodedec Original,89.06% ± 1.46%,88.54% ± 1.20%,91.25% ± 0.85%,93.01% ± 0.56%,90.46% ± 0.51%
format_normalization,XGB Original,90.26% ± 1.24%,90.93% ± 1.61%,91.59% ± 0.77%,93.18% ± 0.69%,91.49% ± 0.53%
format_normalization,Best Transition,92.33% ± 1.25%,92.03% ± 1.13%,93.39% ± 0.83%,94.94% ± 0.51%,93.17% ± 0.43%
format_normalization,MSTF,96.85% ± 0.63%,97.38% ± 0.63%,97.27% ± 0.49%,97.48% ± 0.37%,97.24% ± 0.24%
comment_injection,LPcodedec Original,89.00% ± 1.43%,88.63% ± 1.29%,91.16% ± 0.93%,92.93% ± 0.54%,90.43% ± 0.48%
comment_injection,XGB Original,90.05% ± 1.20%,90.64% ± 1.61%,91.50% ± 0.71%,93.11% ± 0.70%,91.33% ± 0.53%
comment_injection,Best Transition,92.04% ± 1.14%,91.79% ± 1.13%,93.31% ± 0.79%,94.86% ± 0.52%,93.00% ± 0.43%
comment_injection,MSTF,96.58% ± 0.56%,97.32% ± 0.71%,97.22% ± 0.42%,97.40% ± 0.41%,97.13% ± 0.21%
combined,LPcodedec Original,81.50% ± 2.96%,82.45% ± 3.41%,82.48% ± 2.22%,90.18% ± 1.29%,84.15% ± 1.35%
combined,XGB Original,83.57% ± 2.01%,85.31% ± 2.87%,88.31% ± 1.46%,91.20% ± 1.05%,87.10% ± 0.91%
combined,Best Transition,88.63% ± 1.95%,87.27% ± 2.49%,90.44% ± 1.31%,93.21% ± 0.57%,89.89% ± 0.90%
combined,MSTF,94.80% ± 0.85%,94.90% ± 1.12%,95.42% ± 0.75%,96.13% ± 0.49%,95.31% ± 0.28%
