negative_pairing,metric,baseline_mean,mstf_mean
current,precision,0.9063643473501871,0.9455983009469079
current,recall,0.9239988033533305,0.9184983227863467
current,auroc,0.9704481129999538,0.9804565212906576
current,mcc,0.8286439925810885,0.8661207069119918
random,precision,0.9018538812647852,0.9423203652256845
random,recall,0.9225794786496692,0.9182007766897087
random,auroc,0.9694639980050803,0.9802315195206445
random,mcc,0.8222982388306695,0.8622963206632005
hard,precision,0.8234073289556443,0.891960390212312
hard,recall,0.8710713009466795,0.8734954530940239
hard,auroc,0.9121551125742774,0.9495690953825557
hard,mcc,0.6848382179334539,0.767734347039047
