negative_pairing,language,baseline_f1_mean,mstf_f1_mean,delta_f1_mean,n_fold_records
current,c,0.9026427121466468,0.9233295084715519,0.020686796324905235,15
current,cpp,0.9092689274192047,0.9202645374383677,0.010995610019162997,15
current,java,0.9158638119989387,0.9339045741544825,0.01804076215554388,15
current,py,0.9318874778123082,0.9494890475497824,0.0176015697374743,15
random,c,0.8976070725451398,0.9176389888606943,0.02003191631555463,15
random,cpp,0.9057283688491988,0.9182468911857545,0.01251852233655557,15
random,java,0.9123468517883062,0.9345449998558758,0.02219814806756982,15
random,py,0.932081092802952,0.9495176875821851,0.01743659477923345,15
hard,c,0.8338396908799258,0.8819922054288974,0.04815251454897162,15
hard,cpp,0.8418304581522543,0.8634228299798256,0.021592371827571174,15
hard,java,0.8362033508694086,0.874438850556086,0.03823549968667763,15
hard,py,0.8734074654717683,0.9096277359795354,0.0362202705077671,15
